Dataset,Model,RMSE,MAE,R²,Accuracy (%),Train Time (s)
Air Quality,Random Forest,63.599287408542246,47.25785816062177,0.6124694907846979,18.393782383419687,1.5390052795410156
Air Quality,XGBoost (GPU),66.55665318160668,49.50632071539528,0.5755912295035033,17.357512953367877,2.1330769062042236
Air Quality,Hist Gradient Boosting,67.39232788759918,49.66931862458207,0.5648667043725359,17.357512953367877,0.392197847366333
Indian Housing Prices,Random Forest,11.001242047990079,8.72813552472859,0.9938251435158876,85.88661037394452,2.4713566303253174
Indian Housing Prices,Hist Gradient Boosting,11.182524188196393,8.915663542084998,0.9936199641288738,86.73100120627262,0.44176411628723145
Indian Housing Prices,XGBoost (GPU),12.208666883174013,9.87415066377389,0.9923953379974212,83.11218335343787,2.2837393283843994
KNN Imputation,Random Forest,12.985501164004596,0.4241549789621315,0.9981671100509634,67.48480598410472,6.625669479370117
KNN Imputation,XGBoost (GPU),33.67784169872492,4.3485307693481445,0.9876715540885925,64.4927536231884,4.165484189987183
KNN Imputation,Hist Gradient Boosting,40.51855375833148,7.2479928947646375,0.9821545776960353,61.804581580177654,0.9380631446838379
Mean Imputation,Random Forest,12.985501164004596,0.4241549789621315,0.9981671100509634,67.48480598410472,6.361507892608643
Mean Imputation,XGBoost (GPU),33.67784169872492,4.3485307693481445,0.9876715540885925,64.4927536231884,3.239166021347046
Mean Imputation,Hist Gradient Boosting,40.51855375833148,7.2479928947646375,0.9821545776960353,61.804581580177654,1.1564362049102783
Median Imputation,Random Forest,13.170875021693638,0.4933719027582975,0.9981144058757411,67.46143057503507,5.086220979690552
Median Imputation,XGBoost (GPU),32.332121626444305,4.3316426277160645,0.9886371493339539,64.58625525946704,3.3412983417510986
Median Imputation,Hist Gradient Boosting,40.53322353725849,7.238679596076968,0.9821416534543665,61.61757830762038,0.9717910289764404
Mode Imputation,Random Forest,13.182958559987329,0.4887669471715748,0.998110944435163,67.46143057503507,4.3100268840789795
Mode Imputation,XGBoost (GPU),33.52610922848042,4.392229080200195,0.9877824187278748,64.58625525946704,3.0445950031280518
Mode Imputation,Hist Gradient Boosting,40.53326698654659,7.2378333772024686,0.982141615168102,61.61757830762038,0.7225971221923828
Noise Quality,Random Forest,27.4316105385634,20.584389160839162,0.5537206154490478,20.97902097902098,0.5993354320526123
Noise Quality,Hist Gradient Boosting,28.490042553279675,21.607566142597488,0.5186173772002036,20.27972027972028,0.28150486946105957
Noise Quality,XGBoost (GPU),31.301963241760916,24.41295484209394,0.41890469407491715,14.685314685314685,1.6269617080688477
Real Estate,Random Forest,3.489130880280175,0.2413953888506534,0.9998377421180964,99.82794218857536,3.2786965370178223
Real Estate,XGBoost (GPU),30.914488956497507,4.3888068199157715,0.9872621893882751,95.11355815554026,2.1700549125671387
Real Estate,Hist Gradient Boosting,53.585515150481,11.768076046563218,0.9617293267915188,89.02271163110805,0.2775697708129883
