ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Furnished_Status_encoded,Public_Transport_Accessibility_encoded,Parking_Space_encoded,Security_encoded,Availability_Status_encoded
12,Karnataka,Bangalore,Locality_462,Apartment,5,3988,465.38,0.12,2022,Furnished,6,24,3,6,4,High,No,Yes,"Clubhouse, Pool, Playground, Gym",West,Broker,Ready_to_Move,1.0,1.0,0,1,0
57,Karnataka,Bangalore,Locality_125,Apartment,5,3276,139.64,0.04,1997,Semi-furnished,9,14,28,4,7,Medium,No,Yes,"Gym, Pool",West,Broker,Under_Construction,0.5,0.5,0,1,1
84,Karnataka,Bangalore,Locality_498,Independent House,4,3936,401.88,0.1,1999,Furnished,2,6,26,3,6,High,No,Yes,"Gym, Pool, Clubhouse, Playground, Garden",West,Builder,Ready_to_Move,1.0,1.0,0,1,0
231,Karnataka,Bangalore,Locality_452,Apartment,1,999,342.81,0.34,2006,Semi-furnished,15,25,19,2,7,Low,Yes,No,"Clubhouse, Garden",West,Broker,Under_Construction,0.5,0.0,1,0,1
250,Karnataka,Bangalore,Locality_89,Independent House,2,1022,68.09,0.07,2009,Furnished,17,9,16,4,3,Low,Yes,No,"Gym, Clubhouse, Pool",South,Owner,Under_Construction,1.0,0.0,1,0,1
276,Karnataka,Bangalore,Locality_21,Independent House,4,4668,337.41,0.07,2006,Semi-furnished,8,16,19,5,2,High,Yes,Yes,"Playground, Clubhouse, Pool",West,Owner,Ready_to_Move,0.5,1.0,1,1,0
282,Karnataka,Bangalore,Locality_26,Apartment,3,4562,100.33,0.02,2019,Semi-furnished,7,20,6,5,2,Low,No,No,"Playground, Gym, Garden, Pool",South,Broker,Under_Construction,0.5,0.0,0,0,1
288,Karnataka,Bangalore,Locality_158,Villa,4,3519,117.88,0.03,2018,Furnished,4,15,7,10,9,Low,Yes,Yes,"Gym, Clubhouse",North,Broker,Ready_to_Move,1.0,0.0,1,1,0
367,Karnataka,Bangalore,Locality_333,Independent House,1,4304,248.76,0.06,1992,Furnished,28,22,33,1,7,Medium,Yes,No,"Playground, Garden",South,Owner,Under_Construction,1.0,0.5,1,0,1
456,Karnataka,Bangalore,Locality_471,Independent House,2,964,96.13,0.1,2006,Semi-furnished,7,18,19,1,9,High,No,No,"Gym, Clubhouse, Pool, Garden",West,Owner,Under_Construction,0.5,1.0,0,0,1
535,Karnataka,Bangalore,Locality_375,Villa,5,3828,264.56,0.07,1993,Semi-furnished,7,6,32,1,8,Medium,Yes,No,"Pool, Playground, Gym",North,Broker,Under_Construction,0.5,0.5,1,0,1
584,Karnataka,Bangalore,Locality_155,Villa,3,1894,213.43,0.11,2019,Unfurnished,17,22,6,9,6,Medium,Yes,Yes,"Playground, Gym, Garden",West,Broker,Ready_to_Move,0.0,0.5,1,1,0
646,Karnataka,Bangalore,Locality_446,Villa,2,2363,312.84,0.13,2008,Furnished,9,19,17,9,1,Low,Yes,Yes,"Pool, Gym, Playground, Garden",East,Builder,Under_Construction,1.0,0.0,1,1,1
795,Karnataka,Bangalore,Locality_174,Villa,3,2716,99.46,0.04,2004,Furnished,7,7,21,3,8,Low,Yes,Yes,"Gym, Garden, Clubhouse, Playground, Pool",East,Owner,Ready_to_Move,1.0,0.0,1,1,0
818,Karnataka,Bangalore,Locality_194,Independent House,1,4942,30.14,0.01,2011,Unfurnished,8,24,14,8,5,Medium,Yes,No,"Playground, Gym",East,Owner,Ready_to_Move,0.0,0.5,1,0,0
842,Karnataka,Bangalore,Locality_261,Villa,5,1287,383.83,0.3,2019,Semi-furnished,8,12,6,1,9,Medium,Yes,Yes,Gym,East,Builder,Under_Construction,0.5,0.5,1,1,1
879,Karnataka,Bangalore,Locality_314,Apartment,3,3674,218.51,0.06,1990,Unfurnished,22,12,35,8,10,Low,No,No,"Playground, Clubhouse, Gym, Garden, Pool",North,Owner,Under_Construction,0.0,0.0,0,0,1
897,Karnataka,Bangalore,Locality_225,Apartment,5,1593,319.72,0.2,2019,Furnished,10,20,6,10,6,Low,Yes,Yes,Garden,West,Owner,Under_Construction,1.0,0.0,1,1,1
947,Karnataka,Bangalore,Locality_157,Villa,2,2324,131.14,0.06,2023,Furnished,24,20,2,5,1,High,No,Yes,"Clubhouse, Playground, Gym",East,Broker,Ready_to_Move,1.0,1.0,0,1,0
954,Karnataka,Bangalore,Locality_330,Independent House,4,1981,156.54,0.08,2013,Semi-furnished,24,14,12,8,1,Medium,Yes,Yes,"Pool, Garden, Playground, Gym",West,Owner,Ready_to_Move,0.5,0.5,1,1,0
1023,Karnataka,Bangalore,Locality_226,Villa,1,3546,172.55,0.05,2008,Semi-furnished,18,22,17,9,4,Medium,Yes,Yes,Playground,North,Builder,Under_Construction,0.5,0.5,1,1,1
1129,Karnataka,Bangalore,Locality_368,Independent House,4,4230,318.3,0.08,2023,Furnished,11,15,2,8,3,Medium,Yes,No,"Garden, Playground, Clubhouse, Gym, Pool",North,Owner,Ready_to_Move,1.0,0.5,1,0,0
1234,Karnataka,Bangalore,Locality_489,Independent House,1,1037,193.8,0.19,2007,Furnished,21,19,18,6,6,High,No,Yes,"Garden, Pool",South,Broker,Under_Construction,1.0,1.0,0,1,1
1354,Karnataka,Bangalore,Locality_434,Villa,2,2598,99.11,0.04,1996,Semi-furnished,3,14,29,1,3,High,No,Yes,"Gym, Garden, Pool, Playground, Clubhouse",South,Owner,Under_Construction,0.5,1.0,0,1,1
1681,Karnataka,Bangalore,Locality_405,Independent House,5,2047,166.17,0.08,2010,Furnished,2,30,15,6,8,Low,Yes,No,"Gym, Playground",North,Owner,Ready_to_Move,1.0,0.0,1,0,0
1799,Karnataka,Bangalore,Locality_251,Apartment,1,1539,75.33,0.05,1998,Furnished,17,27,27,1,10,High,Yes,No,"Pool, Gym, Garden",North,Owner,Under_Construction,1.0,1.0,1,0,1
1802,Karnataka,Bangalore,Locality_217,Apartment,2,3537,403.11,0.11,2018,Unfurnished,16,17,7,9,6,High,Yes,Yes,"Pool, Garden",West,Broker,Under_Construction,0.0,1.0,1,1,1
1876,Karnataka,Bangalore,Locality_432,Villa,1,1322,219.3,0.17,1993,Semi-furnished,12,1,32,7,9,High,No,No,"Pool, Gym",East,Broker,Under_Construction,0.5,1.0,0,0,1
2018,Karnataka,Bangalore,Locality_14,Apartment,2,2610,51.92,0.02,1994,Unfurnished,20,7,31,6,8,High,No,Yes,Playground,West,Broker,Under_Construction,0.0,1.0,0,1,1
2046,Karnataka,Bangalore,Locality_315,Independent House,1,3127,492.71,0.16,1991,Semi-furnished,28,9,34,3,7,Low,No,Yes,"Garden, Clubhouse, Gym",North,Builder,Under_Construction,0.5,0.0,0,1,1
2091,Karnataka,Bangalore,Locality_403,Apartment,2,2287,465.81,0.2,2020,Unfurnished,2,3,5,4,1,Medium,No,Yes,Pool,East,Broker,Ready_to_Move,0.0,0.5,0,1,0
2120,Karnataka,Bangalore,Locality_35,Apartment,5,1090,62.58,0.06,2005,Unfurnished,20,5,20,8,4,High,Yes,Yes,Playground,East,Owner,Ready_to_Move,0.0,1.0,1,1,0
2229,Karnataka,Bangalore,Locality_38,Villa,2,4061,168.07,0.04,1997,Furnished,23,3,28,5,7,Medium,No,No,Garden,East,Builder,Under_Construction,1.0,0.5,0,0,1
2269,Karnataka,Bangalore,Locality_449,Independent House,5,1827,138.44,0.08,2018,Unfurnished,10,2,7,2,10,High,No,No,"Clubhouse, Pool, Playground, Gym, Garden",North,Builder,Ready_to_Move,0.0,1.0,0,0,0
2274,Karnataka,Bangalore,Locality_442,Villa,1,2824,344.77,0.12,2006,Furnished,8,4,19,2,3,High,No,No,"Garden, Clubhouse",South,Broker,Under_Construction,1.0,1.0,0,0,1
2278,Karnataka,Bangalore,Locality_445,Villa,1,3734,159.37,0.04,1998,Furnished,1,28,27,3,9,Low,Yes,No,"Playground, Clubhouse",West,Owner,Ready_to_Move,1.0,0.0,1,0,0
2339,Karnataka,Bangalore,Locality_124,Apartment,5,3744,275.74,0.07,1994,Furnished,7,25,31,8,1,Medium,No,No,"Pool, Clubhouse, Gym, Playground, Garden",South,Broker,Ready_to_Move,1.0,0.5,0,0,0
2399,Karnataka,Bangalore,Locality_13,Independent House,5,809,498.33,0.62,1997,Semi-furnished,15,30,28,9,3,Medium,No,Yes,Pool,South,Builder,Ready_to_Move,0.5,0.5,0,1,0
2415,Karnataka,Bangalore,Locality_485,Apartment,5,1465,480.12,0.33,2017,Unfurnished,26,5,8,3,1,Medium,Yes,Yes,"Gym, Garden, Playground, Pool, Clubhouse",North,Owner,Ready_to_Move,0.0,0.5,1,1,0
2418,Karnataka,Bangalore,Locality_444,Villa,4,3729,425.13,0.11,2005,Furnished,8,5,20,10,8,Medium,Yes,No,"Playground, Garden, Gym",North,Builder,Under_Construction,1.0,0.5,1,0,1
2476,Karnataka,Bangalore,Locality_187,Independent House,4,4033,216.12,0.05,2006,Furnished,3,25,19,4,6,Medium,No,Yes,"Garden, Clubhouse",West,Owner,Under_Construction,1.0,0.5,0,1,1
2537,Karnataka,Bangalore,Locality_138,Villa,1,3909,487.6,0.12,2013,Semi-furnished,14,18,12,8,4,Low,Yes,No,"Pool, Garden, Gym, Playground, Clubhouse",East,Builder,Under_Construction,0.5,0.0,1,0,1
2542,Karnataka,Bangalore,Locality_197,Independent House,4,2983,336.81,0.11,1994,Unfurnished,29,10,31,1,5,High,Yes,No,"Pool, Clubhouse, Playground",West,Broker,Under_Construction,0.0,1.0,1,0,1
2582,Karnataka,Bangalore,Locality_471,Independent House,4,2896,347.74,0.12,1997,Unfurnished,25,6,28,10,10,Low,Yes,Yes,"Playground, Clubhouse, Garden, Gym",South,Builder,Under_Construction,0.0,0.0,1,1,1
2615,Karnataka,Bangalore,Locality_352,Villa,1,3636,328.8,0.09,2014,Unfurnished,22,9,11,1,6,Medium,Yes,Yes,Gym,East,Builder,Ready_to_Move,0.0,0.5,1,1,0
2617,Karnataka,Bangalore,Locality_285,Villa,5,1493,309.4,0.21,2018,Semi-furnished,23,5,7,7,2,Low,No,No,"Garden, Playground, Pool, Gym",East,Broker,Under_Construction,0.5,0.0,0,0,1
2672,Karnataka,Bangalore,Locality_109,Apartment,4,4225,305.5,0.07,2004,Unfurnished,18,27,21,6,6,Medium,Yes,No,"Playground, Clubhouse",North,Builder,Under_Construction,0.0,0.5,1,0,1
3052,Karnataka,Bangalore,Locality_368,Villa,1,1800,209.84,0.12,1997,Furnished,27,23,28,9,3,High,Yes,Yes,"Playground, Pool, Gym, Garden",South,Owner,Under_Construction,1.0,1.0,1,1,1
3369,Karnataka,Bangalore,Locality_105,Villa,1,3118,385.49,0.12,1997,Furnished,8,14,28,3,7,Low,Yes,Yes,"Garden, Clubhouse, Pool, Gym",South,Owner,Ready_to_Move,1.0,0.0,1,1,0
3458,Karnataka,Bangalore,Locality_313,Apartment,4,1633,270.13,0.17,1991,Unfurnished,14,10,34,5,2,Medium,No,No,"Gym, Clubhouse",East,Broker,Ready_to_Move,0.0,0.5,0,0,0
3540,Karnataka,Bangalore,Locality_248,Apartment,5,3575,399.52,0.11,1994,Semi-furnished,16,17,31,3,7,Medium,No,Yes,"Gym, Playground, Pool",East,Broker,Under_Construction,0.5,0.5,0,1,1
3598,Karnataka,Bangalore,Locality_468,Independent House,3,2798,336.01,0.12,2003,Unfurnished,29,22,22,7,4,High,Yes,No,Gym,East,Builder,Ready_to_Move,0.0,1.0,1,0,0
3610,Karnataka,Bangalore,Locality_354,Villa,2,1690,448.67,0.27,2019,Furnished,9,16,6,6,3,High,No,No,"Pool, Gym",North,Owner,Under_Construction,1.0,1.0,0,0,1
3636,Karnataka,Bangalore,Locality_296,Villa,2,2524,333.84,0.13,1996,Furnished,24,29,29,2,5,Low,Yes,No,"Pool, Playground, Garden, Clubhouse",South,Builder,Ready_to_Move,1.0,0.0,1,0,0
3758,Karnataka,Bangalore,Locality_446,Villa,4,2717,56.24,0.02,2019,Unfurnished,25,28,6,4,3,Low,Yes,No,"Clubhouse, Playground, Garden",South,Owner,Ready_to_Move,0.0,0.0,1,0,0
3771,Karnataka,Bangalore,Locality_430,Villa,2,2097,499.59,0.24,1993,Semi-furnished,21,27,32,5,8,Medium,No,No,Playground,South,Broker,Under_Construction,0.5,0.5,0,0,1
3816,Karnataka,Bangalore,Locality_274,Apartment,2,4043,197.73,0.05,2004,Unfurnished,29,27,21,5,9,High,No,Yes,Playground,West,Owner,Ready_to_Move,0.0,1.0,0,1,0
3838,Karnataka,Bangalore,Locality_148,Independent House,4,1556,395.78,0.25,2003,Furnished,21,6,22,2,6,High,Yes,No,"Playground, Pool, Gym, Clubhouse, Garden",North,Builder,Under_Construction,1.0,1.0,1,0,1
3852,Karnataka,Bangalore,Locality_10,Villa,5,1356,475.13,0.35,2019,Semi-furnished,30,19,6,4,9,Medium,Yes,No,"Garden, Clubhouse, Playground, Pool, Gym",South,Owner,Under_Construction,0.5,0.5,1,0,1
3952,Karnataka,Bangalore,Locality_91,Independent House,2,3759,239.43,0.06,1995,Semi-furnished,3,3,30,8,2,Low,Yes,No,"Pool, Gym, Clubhouse, Garden, Playground",South,Broker,Under_Construction,0.5,0.0,1,0,1
3981,Karnataka,Bangalore,Locality_212,Apartment,4,3525,216.89,0.06,2020,Semi-furnished,11,1,5,5,10,High,Yes,Yes,Clubhouse,West,Owner,Ready_to_Move,0.5,1.0,1,1,0
4037,Karnataka,Bangalore,Locality_243,Apartment,3,2286,146.82,0.06,1994,Semi-furnished,1,21,31,3,5,Medium,No,Yes,Gym,South,Owner,Ready_to_Move,0.5,0.5,0,1,0
4098,Karnataka,Bangalore,Locality_61,Villa,2,1448,69.05,0.05,1991,Unfurnished,6,4,34,9,9,Medium,No,Yes,Garden,North,Owner,Under_Construction,0.0,0.5,0,1,1
4114,Karnataka,Bangalore,Locality_78,Independent House,5,3814,17.8,0.0,2002,Semi-furnished,19,23,23,9,3,Low,No,No,"Pool, Garden, Clubhouse, Playground, Gym",South,Broker,Under_Construction,0.5,0.0,0,0,1
4155,Karnataka,Bangalore,Locality_49,Independent House,2,3688,311.3,0.08,2022,Furnished,23,14,3,8,4,Medium,No,Yes,"Garden, Playground",West,Broker,Under_Construction,1.0,0.5,0,1,1
4182,Karnataka,Bangalore,Locality_347,Villa,3,3844,453.64,0.12,2004,Furnished,15,21,21,3,2,Low,Yes,Yes,"Clubhouse, Garden, Pool, Gym, Playground",North,Builder,Under_Construction,1.0,0.0,1,1,1
4187,Karnataka,Bangalore,Locality_214,Apartment,5,3430,176.56,0.05,1992,Semi-furnished,29,24,33,9,1,High,No,No,"Playground, Garden, Gym, Clubhouse",South,Builder,Ready_to_Move,0.5,1.0,0,0,0
4258,Karnataka,Bangalore,Locality_429,Apartment,4,3873,496.04,0.13,1992,Semi-furnished,11,3,33,8,2,Medium,Yes,Yes,Clubhouse,North,Owner,Under_Construction,0.5,0.5,1,1,1
